ncaa_player_name,rookie_Age,consensus_tier,HEIGHT,WEIGHT,STANDING REACH,WINGSPAN,STANDING VERTICAL,MAX VERTICAL,LANE AGILITY,THREE QUARTER SPRINT,scouting_report,projected_range
Brandin Podziemski,20,6,6' 3.75'',203.8,8' 0.50'',6' 5.50'',31.5,39,11.16,3.21,"This year's Santa Clara prospect, Podziemski has a lot to live up to. He is a strong offensive player, on and off ball, but he'll need to bulk up and prove he can play NBA defense.",Fringe 1st-2nd
Olivier-Maxence Prosper,21,6,6' 6.75'',212.4,8' 8.00'',7' 1.00'',35,40.5,10.59,3.21,"Late riser and combine star, Prosper has stud defensive wing potential with a massive wingspan and great athleticism. As with most prospects, he'll need to improve as a floor spacer.",Fringe 1st-2nd
Adama Sanogo,21,7,6' 7.25'',257.8,9' 0.50'',7' 2.75'',28.5,31,11.5,3.31,"Sanogo won't be able to be a full-time five at the next level. However, his defensive versatility means he can guard forwards while playing offensively as a small-ball five at times.",2nd round +
Marcus Sasser,23,6,6' 1.25'',195.6,8' 3.50'',6' 7.00'',27,35,10.68,3.43,"Sasser is a hustle guard that can do everything. Size may limit him defensively, but his hustle and strength can keep him on the floor, especially in the second unit.",Fringe 1st-2nd
Brice Sensabaugh,20,5,"6' 5.00""",,,,,,,,"An excellent and efficient scorer, Sensabaugh doesn't bring much else to his game. If can brings that same efficiency to the NBA, he coulld really be a valuable pick.",Late First
Ben Sheppard,22,6,6' 5.25'',194.6,8' 4.00'',6' 7.75'',29.5,35.5,10.88,3.17,"A strong shooter in his senior year, Sheppard's FT% did not develop accordingly. Is the shooting a mirage? Also, can he attack closeouts when needed?",Fringe 1st-2nd
Jalen Slawson,23,7,6' 6.50'',221.6,8' 10.00'',6' 11.75'',29,33,11.26,3.29,"Slawson is an athletic wing with an NBA body. Profiles as a switchable and strong defender, but will need to shoot consistently.",2nd round +
Terquavion Smith,21,7,6' 2.50'',163.2,8' 2.00'',6' 6.75'',30,37,10.86,3.21,"Microwave wirey scorer, Smith is not the most functional role player. He'll need to improve defense and strength to unlock upside and stay on the court",2nd round +
Nick Smith Jr.,19,3,"6' 4.25""",,,,,,,,"Smith was a top recruit, but struggled to make an impact on a stacked Arkansas team. He really struggled for efficiency and didn't find other ways to contribute.",Mid First
Julian Strawther,21,7,6' 6.00'',208.8,8' 9.00'',6' 9.25'',27.5,34.5,10.94,3.31,"Three-point sharpshooter with real touch with his floater. However, he has low defensive impact which hampers his stock.",2nd round +
Drew Timme,22,7,6' 8.75'',243.2,9' 0.50'',7' 1.75'',26,30.5,10.93,3.34,Offensively talented throwback big. He lacks the mobility or strength to play big at the NBA level.,2nd round +
Oscar Tshiebwe,23,7,6' 7.25'',253.6,9' 0.00'',7' 3.50'',29.5,32.5,12.26,3.32,"A true rim-runner but undersized for an NBA big, Tshiebwe is the ultimate hustle rebounder. The rest of his game, however, is filled with questions.",2nd round +
Azuolas Tubelis,19,7,6' 8.75'',234.8,9' 0.00'',6' 11.00'',23.5,30.5,11.17,3.5,"Tubelis has an offense focused game, as he heavily lacks on the defensive end. He needs to improve his shot to make it as a stretch big.",2nd round +
Jarace Walker,19,2,6' 6.50'',248.6,8' 8.50'',7' 2.50'',34.5,38,10.89,3.2,"Walker is a stocky, explosive player that needs to lean into his size a bit more. Has the tools to be a plus-defender three through five and an underrated scorer.",4 to 10
Cason Wallace,19,3,6' 2.50'',195.2,8' 5.00'',6' 8.50'',28,36,10.82,3.34,A quick point-of-attack defender that gets tangible defensive results with his steal numbers. Wallace will need to develop better shot creation to be a true NBA lead guard.,Mid First
Jordan Walsh,19,7,6' 5.75'',204,8' 11.00'',7' 1.75'',33,36,10.83,3.3,Walsh is a lengthy lockdown defender that will need to gain a jumpshot to hit.,2nd round +
Dariq Whitehead,19,5,6' 5.75'',217.2,8' 7.50'',6' 10.25'',,,,,"Former top recruit, Whitehead had an up and down year. He was a scorching shooter, but much of the two-way upside he showed in HS did not appear.",Late First
Cam Whitmore,19,2,6' 5.75'',235,8' 7.50'',6' 8.50'',31.5,40.5,10.82,3.2,Whitmore is an incredible athlete with real shot creation ability. He needs better court vision to contribute to winning basketball.,4 to 10
Jalen Wilson,22,7,6' 5.50'',230.2,8' 3.50'',6' 8.00'',31.5,35,11.26,3.2,"A lead option at Kansas, Wilson will need to improve at the quintessential role player skills to stick in the league.",2nd round +
Isaiah Wong,22,7,6' 2.50'',178.4,8' 1.50'',6' 6.75'',32.5,37,10.93,3.22,"A pure on-ball scorer, Wong needs to improve his off-ball scoring as well as make better connective passes.",2nd round +
